protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
PVA,raw,1,1,loopback,1,24333.6,24333.6,73011,0,0,3.00042
PVA,raw,1,1,loopback,2,24781.3,24781.3,74345,0,0,3.00005
PVA,raw,1,1,loopback,3,23792,23792,71483,0,0,3.0045
PVA,raw,1000,1,loopback,1,245537,245.537,736791,0,0,3.00073
PVA,raw,1000,1,loopback,2,244782,244.782,735319,0,0,3.00397
PVA,raw,1000,1,loopback,3,245243,245.243,736958,0,0,3.00501
PVA,raw,1,100,loopback,1,19069.6,19069.6,57302,0,0,3.00489
PVA,raw,1,100,loopback,2,17193.6,17193.6,51590,43,0,3.00053
PVA,raw,1,100,loopback,3,10176.4,10176.4,30580,0,0,3.00498
PVA,raw,1000,100,loopback,1,227131,227.131,682506,0,0,3.0049
PVA,raw,1000,100,loopback,2,244811,244.811,734876,0,0,3.00181
PVA,raw,1000,100,loopback,3,249364,249.364,749341,0,0,3.00501
PVA,raw,1,10000,loopback,1,12964.9,12964.9,38898,1,0,3.00025
PVA,raw,1,10000,loopback,2,20664,20664,62083,15,0,3.0044
PVA,raw,1,10000,loopback,3,24875.3,24875.3,74687,5,0,3.00246
PVA,raw,1000,10000,loopback,1,66900.9,66.9009,200816,17377,0,3.00169
PVA,raw,1000,10000,loopback,2,67539.5,67.5395,202957,16872,0,3.00501
PVA,raw,1000,10000,loopback,3,63525.8,63.5258,190846,26758,0,3.00423
PVA,raw,1,100000,loopback,1,8868.41,8868.41,26610,0,0,3.00054
PVA,raw,1,100000,loopback,2,10706.4,10706.4,32124,1,0,3.00044
PVA,raw,1,100000,loopback,3,9637.86,9637.86,28950,0,0,3.00378
PVA,raw,1000,100000,loopback,1,11573.1,11.5731,34772,173292,0,3.00455
PVA,raw,1000,100000,loopback,2,11884.5,11.8845,35701,171021,0,3.00399
PVA,raw,1000,100000,loopback,3,11368.6,11.3686,34112,174546,0,3.00056
SPVA,raw,1,1,loopback,1,12965.5,12965.5,38914,37,0,3.00136
SPVA,raw,1,1,loopback,2,2925.76,2925.76,8792,0,0,3.00503
SPVA,raw,1,1,loopback,3,15441.5,15441.5,46402,7,0,3.00501
SPVA,raw,1000,1,loopback,1,58803.8,58.8038,176560,39972,0,3.00253
SPVA,raw,1000,1,loopback,2,60478.3,60.4783,181630,34496,0,3.00323
SPVA,raw,1000,1,loopback,3,59939.9,59.9399,179884,36378,0,3.00107
SPVA,raw,1,100,loopback,1,19400.3,19400.3,58246,7,0,3.00232
SPVA,raw,1,100,loopback,2,19551.9,19551.9,58705,6,0,3.00252
SPVA,raw,1,100,loopback,3,19630.5,19630.5,59101,3,0,3.01067
SPVA,raw,1000,100,loopback,1,59426.6,59.4266,178578,37338,0,3.00502
SPVA,raw,1000,100,loopback,2,59640.9,59.6409,179222,37263,0,3.00502
SPVA,raw,1000,100,loopback,3,59962.6,59.9626,179988,35772,0,3.00167
SPVA,raw,1,10000,loopback,1,12302,12302,36949,4,0,3.0035
SPVA,raw,1,10000,loopback,2,13133.5,13133.5,39461,19,0,3.0046
SPVA,raw,1,10000,loopback,3,12130,12130,36430,0,0,3.00331
SPVA,raw,1000,10000,loopback,1,22581.8,22.5818,67786,139669,0,3.0018
SPVA,raw,1000,10000,loopback,2,22093.3,22.0933,66391,141893,0,3.00502
SPVA,raw,1000,10000,loopback,3,21877.4,21.8774,65657,138013,0,3.00113
SPVA,raw,1,100000,loopback,1,3249.17,3249.17,9755,0,0,3.00231
SPVA,raw,1,100000,loopback,2,3420.29,3420.29,10267,0,0,3.0018
SPVA,raw,1,100000,loopback,3,3371.4,3371.4,10119,0,0,3.00142
SPVA,raw,1000,100000,loopback,1,3755.41,3.75541,11277,193651,0,3.00287
SPVA,raw,1000,100000,loopback,2,3785.64,3.78564,11376,190294,0,3.00504
SPVA,raw,1000,100000,loopback,3,3636.96,3.63696,10922,193804,0,3.00306
SPVA_CERTMON,raw,1,1,loopback,1,19650.3,19650.3,59040,0,0,3.00453
SPVA_CERTMON,raw,1,1,loopback,2,2633.5,2633.5,7902,0,0,3.00057
SPVA_CERTMON,raw,1,1,loopback,3,10066.8,10066.8,30216,0,0,3.00155
SPVA_CERTMON,raw,1000,1,loopback,1,58570.8,58.5708,175864,39158,0,3.00259
SPVA_CERTMON,raw,1000,1,loopback,2,56345,56.345,169319,41741,0,3.00504
SPVA_CERTMON,raw,1000,1,loopback,3,56369.1,56.3691,169129,46901,0,3.00038
SPVA_CERTMON,raw,1,100,loopback,1,18518.1,18518.1,55600,6,0,3.00247
SPVA_CERTMON,raw,1,100,loopback,2,8392.74,8392.74,25186,71,0,3.00093
SPVA_CERTMON,raw,1,100,loopback,3,17340.4,17340.4,52044,0,0,3.00132
SPVA_CERTMON,raw,1000,100,loopback,1,59605.8,59.6058,179117,38175,0,3.00503
SPVA_CERTMON,raw,1000,100,loopback,2,59822,59.822,179767,36887,0,3.00503
SPVA_CERTMON,raw,1000,100,loopback,3,59863.9,59.8639,179720,37296,0,3.00214
SPVA_CERTMON,raw,1,10000,loopback,1,11532.5,11532.5,34599,4,0,3.00012
SPVA_CERTMON,raw,1,10000,loopback,2,8517.72,8517.72,25582,35,0,3.00339
SPVA_CERTMON,raw,1,10000,loopback,3,12835.6,12835.6,38534,19,0,3.00212
SPVA_CERTMON,raw,1000,10000,loopback,1,21681.9,21.6819,65059,136246,0,3.00062
SPVA_CERTMON,raw,1000,10000,loopback,2,22512.3,22.5123,67619,142048,0,3.00365
SPVA_CERTMON,raw,1000,10000,loopback,3,23231.8,23.2318,69812,138349,0,3.00501
SPVA_CERTMON,raw,1,100000,loopback,1,3347.88,3347.88,10047,0,0,3.001
SPVA_CERTMON,raw,1,100000,loopback,2,2300.24,2300.24,6903,5,0,3.00099
SPVA_CERTMON,raw,1,100000,loopback,3,2549.87,2549.87,7660,0,0,3.00407
SPVA_CERTMON,raw,1000,100000,loopback,1,3851.17,3.85117,11565,193023,0,3.00298
SPVA_CERTMON,raw,1000,100000,loopback,2,3777.57,3.77757,11336,189541,0,3.00087
SPVA_CERTMON,raw,1000,100000,loopback,3,3718.79,3.71879,11175,192117,0,3.00501
